"ID","NAME","DESCRIPTION"
"29_10","Manufacture of motor vehicles","Manufacture of motor vehicles"
"29_2","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"29_20","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"29_3","Manufacture of parts and accessories for motor vehicles","Manufacture of parts and accessories for motor vehicles"
"29_31","Manufacture of electrical and electronic equipment for motor vehicles","Manufacture of electrical and electronic equipment for motor vehicles"
"29_32","Manufacture of other parts and accessories for motor vehicles","Manufacture of other parts and accessories for motor vehicles"
"30","Manufacture of other transport equipment","Manufacture of other transport equipment"
"30_1","Building of ships and boats","Building of ships and boats"
"30_11","Building of ships and floating structures","Building of ships and floating structures"
"30_12","Building of pleasure and sporting boats","Building of pleasure and sporting boats"
"30_2","Manufacture of railway locomotives and rolling stock","Manufacture of railway locomotives and rolling stock"
"30_20","Manufacture of railway locomotives and rolling stock","Manufacture of railway locomotives and rolling stock"
"30_3","Manufacture of air and spacecraft and related machinery","Manufacture of air and spacecraft and related machinery"
"30_30","Manufacture of air and spacecraft and related machinery","Manufacture of air and spacecraft and related machinery"
"30_4","Manufacture of military fighting vehicles","Manufacture of military fighting vehicles"
"30_40","Manufacture of military fighting vehicles","Manufacture of military fighting vehicles"
"30_9","Manufacture of transport equipment n.e.c.","Manufacture of transport equipment n.e.c."
"30_91","Manufacture of motorcycles","Manufacture of motorcycles"
"30_92","Manufacture of bicycles and invalid carriages","Manufacture of bicycles and invalid carriages"
"30_99","Manufacture of other transport equipment n.e.c.","Manufacture of other transport equipment n.e.c."
"31","Manufacture of furniture","Manufacture of furniture"
"31_0","Manufacture of furniture","Manufacture of furniture"
"31_01","Manufacture of office and shop furniture","Manufacture of office and shop furniture"
"31_02","Manufacture of kitchen furniture","Manufacture of kitchen furniture"
"31_03","Manufacture of mattresses","Manufacture of mattresses"
"31_09","Manufacture of other furniture","Manufacture of other furniture"
"32","Other manufacturing","Other manufacturing"
"32_1","Manufacture of jewellery, bijouterie and related articles","Manufacture of jewellery, bijouterie and related articles"
"32_11","Striking of coins","Striking of coins"
"32_12","Manufacture of jewellery and related articles","Manufacture of jewellery and related articles"
"32_13","Manufacture of imitation jewellery and related articles","Manufacture of imitation jewellery and related articles"
"32_2","Manufacture of musical instruments","Manufacture of musical instruments"
"32_20","Manufacture of musical instruments","Manufacture of musical instruments"
"32_3","Manufacture of sports goods","Manufacture of sports goods"
"32_30","Manufacture of sports goods","Manufacture of sports goods"
"32_4","Manufacture of games and toys","Manufacture of games and toys"
"32_40","Manufacture of games and toys","Manufacture of games and toys"
"32_5","Manufacture of medical and dental instruments and supplies","Manufacture of medical and dental instruments and supplies"
"32_50","Manufacture of medical and dental instruments and supplies","Manufacture of medical and dental instruments and supplies"
"32_9","Manufacturing n.e.c.","Manufacturing n.e.c."
"32_91","Manufacture of brooms and brushes","Manufacture of brooms and brushes"
"32_99","Other manufacturing n.e.c.","Other manufacturing n.e.c."
"33","Repair and installation of machinery and equipment","Repair and installation of machinery and equipment"
"33_1","Repair of fabricated metal products, machinery and equipment","Repair of fabricated metal products, machinery and equipment"
"33_11","Repair of fabricated metal products","Repair of fabricated metal products"
"33_12","Repair of machinery","Repair of machinery"
"33_13","Repair of electronic and optical equipment","Repair of electronic and optical equipment"
"33_14","Repair of electrical equipment","Repair of electrical equipment"
"33_15","Repair and maintenance of ships and boats","Repair and maintenance of ships and boats"
"33_16","Repair and maintenance of aircraft and spacecraft","Repair and maintenance of aircraft and spacecraft"
"33_17","Repair and maintenance of other transport equipment","Repair and maintenance of other transport equipment"
"33_19","Repair of other equipment","Repair of other equipment"
"33_2","Installation of industrial machinery and equipment","Installation of industrial machinery and equipment"
"33_20","Installation of industrial machinery and equipment","Installation of industrial machinery and equipment"
"35","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply"
"35_1","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution"
"35_11","Production of electricity","Production of electricity"
"35_12","Transmission of electricity","Transmission of electricity"
"35_13","Distribution of electricity","Distribution of electricity"
"35_14","Trade of electricity","Trade of electricity"
"35_2","Manufacture of gas; distribution of gaseous fuels through mains","Manufacture of gas; distribution of gaseous fuels through mains"
"35_21","Manufacture of gas","Manufacture of gas"
"35_22","Distribution of gaseous fuels through mains","Distribution of gaseous fuels through mains"
"35_23","Trade of gas through mains","Trade of gas through mains"
"35_3","Steam and air conditioning supply","Steam and air conditioning supply"
"35_30","Steam and air conditioning supply","Steam and air conditioning supply"
"36","Water collection, treatment and supply","Water collection, treatment and supply"
"36_0","Water collection, treatment and supply","Water collection, treatment and supply"
"36_00","Water collection, treatment and supply","Water collection, treatment and supply"
"37","Sewerage","Sewerage"
"37_0","Sewerage","Sewerage"
"37_00","Sewerage","Sewerage"
"38","Waste collection, treatment and disposal activities; materials recovery","Waste collection, treatment and disposal activities; materials recovery"
"38_1","Waste collection","Waste collection"
"38_11","Collection of non-hazardous waste","Collection of non-hazardous waste"
"38_12","Collection of hazardous waste","Collection of hazardous waste"
"38_2","Waste treatment and disposal","Waste treatment and disposal"
"38_21","Treatment and disposal of non-hazardous waste","Treatment and disposal of non-hazardous waste"
"38_22","Treatment and disposal of hazardous waste","Treatment and disposal of hazardous waste"
"38_3","Materials recovery","Materials recovery"
"38_31","Dismantling of wrecks","Dismantling of wrecks"
"38_32","Recovery of sorted materials","Recovery of sorted materials"
"39","Remediation activities and other waste management services","Remediation activities and other waste management services"
"39_0","Remediation activities and other waste management services","Remediation activities and other waste management services"
"39_00","Remediation activities and other waste management services","Remediation activities and other waste management services"
"41","Construction of buildings","Construction of buildings"
"41_1","Development of building projects","Development of building projects"
"41_10","Development of building projects","Development of building projects"
"41_2","Construction of residential and non-residential buildings","Construction of residential and non-residential buildings"
"41_20","Construction of residential and non-residential buildings","Construction of residential and non-residential buildings"
"42","Civil engineering","Civil engineering"
"42_1","Construction of roads and railways","Construction of roads and railways"
"42_11","Construction of roads and motorways","Construction of roads and motorways"
"42_12","Construction of railways and underground railways","Construction of railways and underground railways"
"42_13","Construction of bridges and tunnels","Construction of bridges and tunnels"
"42_2","Construction of utility projects","Construction of utility projects"
"42_21","Construction of utility projects for fluids","Construction of utility projects for fluids"
"42_22","Construction of utility projects for electricity and telecommunications","Construction of utility projects for electricity and telecommunications"
"42_9","Construction of other civil engineering projects","Construction of other civil engineering projects"
"42_91","Construction of water projects","Construction of water projects"
"42_99","Construction of other civil engineering projects n.e.c.","Construction of other civil engineering projects n.e.c."
"43","Specialised construction activities","Specialised construction activities"
"43_1","Demolition and site preparation","Demolition and site preparation"
"43_11","Demolition","Demolition"
"43_12","Site preparation","Site preparation"
"43_13","Test drilling and boring","Test drilling and boring"
"43_2","Electrical, plumbing and other construction installation activities","Electrical, plumbing and other construction installation activities"
"43_21","Electrical installation","Electrical installation"
"43_22","Plumbing, heat and air-conditioning installation","Plumbing, heat and air-conditioning installation"
"43_29","Other construction installation","Other construction installation"
"43_3","Building completion and finishing","Building completion and finishing"
"43_31","Plastering","Plastering"
"43_32","Joinery installation","Joinery installation"
"43_33","Floor and wall covering","Floor and wall covering"
"43_34","Painting and glazing","Painting and glazing"
"43_39","Other building completion and finishing","Other building completion and finishing"
"43_9","Other specialised construction activities","Other specialised construction activities"
"43_91","Roofing activities","Roofing activities"
"43_99","Other specialised construction activities n.e.c.","Other specialised construction activities n.e.c."
"45","Wholesale and retail trade and repair of motor vehicles and motorcycles","Wholesale and retail trade and repair of motor vehicles and motorcycles"
"45_1","Sale of motor vehicles","Sale of motor vehicles"
"45_11","Sale of cars and light motor vehicles","Sale of cars and light motor vehicles"
"45_19","Sale of other motor vehicles","Sale of other motor vehicles"
"45_2","Maintenance and repair of motor vehicles","Maintenance and repair of motor vehicles"
"45_20","Maintenance and repair of motor vehicles","Maintenance and repair of motor vehicles"
"45_3","Sale of motor vehicle parts and accessories","Sale of motor vehicle parts and accessories"
"45_31","Wholesale trade of motor vehicle parts and accessories","Wholesale trade of motor vehicle parts and accessories"
"45_32","Retail trade of motor vehicle parts and accessories","Retail trade of motor vehicle parts and accessories"
"45_4","Sale, maintenance and repair of motorcycles and related parts and accessories","Sale, maintenance and repair of motorcycles and related parts and accessories"
"45_40","Sale, maintenance and repair of motorcycles and related parts and accessories","Sale, maintenance and repair of motorcycles and related parts and accessories"
"46","Wholesale trade, except of motor vehicles and motorcycles","Wholesale trade, except of motor vehicles and motorcycles"
"46_1","Wholesale on a fee or contract basis","Wholesale on a fee or contract basis"
"46_11","Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods","Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
"46_12","Agents involved in the sale of fuels, ores, metals and industrial chemicals","Agents involved in the sale of fuels, ores, metals and industrial chemicals"
"46_13","Agents involved in the sale of timber and building materials","Agents involved in the sale of timber and building materials"
"46_14","Agents involved in the sale of machinery, industrial equipment, ships and aircraft","Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
"46_15","Agents involved in the sale of furniture, household goods, hardware and ironmongery","Agents involved in the sale of furniture, household goods, hardware and ironmongery"
"46_16","Agents involved in the sale of textiles, clothing, fur, footwear and leather goods","Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
"46_17","Agents involved in the sale of food, beverages and tobacco","Agents involved in the sale of food, beverages and tobacco"
"46_18","Agents specialised in the sale of other particular products","Agents specialised in the sale of other particular products"
"46_19","Agents involved in the sale of a variety of goods","Agents involved in the sale of a variety of goods"
"46_2","Wholesale of agricultural raw materials and live animals","Wholesale of agricultural raw materials and live animals"
"46_21","Wholesale of grain, unmanufactured tobacco, seeds and animal feeds","Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
"46_22","Wholesale of flowers and plants","Wholesale of flowers and plants"
"46_23","Wholesale of live animals","Wholesale of live animals"
"46_24","Wholesale of hides, skins and leather","Wholesale of hides, skins and leather"
"46_3","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco"
"46_31","Wholesale of fruit and vegetables","Wholesale of fruit and vegetables"
"46_32","Wholesale of meat and meat products","Wholesale of meat and meat products"
"46_33","Wholesale of dairy products, eggs and edible oils and fats","Wholesale of dairy products, eggs and edible oils and fats"
"46_34","Wholesale of beverages","Wholesale of beverages"
"46_35","Wholesale of tobacco products","Wholesale of tobacco products"
"46_36","Wholesale of sugar and chocolate and sugar confectionery","Wholesale of sugar and chocolate and sugar confectionery"
"46_37","Wholesale of coffee, tea, cocoa and spices","Wholesale of coffee, tea, cocoa and spices"
"46_38","Wholesale of other food, including fish, crustaceans and molluscs","Wholesale of other food, including fish, crustaceans and molluscs"
"46_39","Non-specialised wholesale of food, beverages and tobacco","Non-specialised wholesale of food, beverages and tobacco"
"46_4","Wholesale of household goods","Wholesale of household goods"
"46_41","Wholesale of textiles","Wholesale of textiles"
"46_42","Wholesale of clothing and footwear","Wholesale of clothing and footwear"
"46_43","Wholesale of electrical household appliances","Wholesale of electrical household appliances"
"46_44","Wholesale of china and glassware and cleaning materials","Wholesale of china and glassware and cleaning materials"
"46_45","Wholesale of perfume and cosmetics","Wholesale of perfume and cosmetics"
"46_46","Wholesale of pharmaceutical goods","Wholesale of pharmaceutical goods"
"46_47","Wholesale of furniture, carpets and lighting equipment","Wholesale of furniture, carpets and lighting equipment"
"46_48","Wholesale of watches and jewellery","Wholesale of watches and jewellery"
"46_49","Wholesale of other household goods","Wholesale of other household goods"
"46_5","Wholesale of information and communication equipment","Wholesale of information and communication equipment"
"46_51","Wholesale of computers, computer peripheral equipment and software","Wholesale of computers, computer peripheral equipment and software"
"46_52","Wholesale of electronic and telecommunications equipment and parts","Wholesale of electronic and telecommunications equipment and parts"
"46_6","Wholesale of other machinery, equipment and supplies","Wholesale of other machinery, equipment and supplies"
"46_61","Wholesale of agricultural machinery, equipment and supplies","Wholesale of agricultural machinery, equipment and supplies"
"46_62","Wholesale of machine tools","Wholesale of machine tools"
"46_63","Wholesale of mining, construction and civil engineering machinery","Wholesale of mining, construction and civil engineering machinery"
"46_64","Wholesale of machinery for the textile industry and of sewing and knitting machines","Wholesale of machinery for the textile industry and of sewing and knitting machines"
"46_65","Wholesale of office furniture","Wholesale of office furniture"
"46_66","Wholesale of other office machinery and equipment","Wholesale of other office machinery and equipment"
"46_69","Wholesale of other machinery and equipment","Wholesale of other machinery and equipment"
"46_7","Other specialised wholesale","Other specialised wholesale"
"46_71","Wholesale of solid, liquid and gaseous fuels and related products","Wholesale of solid, liquid and gaseous fuels and related products"
"46_72","Wholesale of metals and metal ores","Wholesale of metals and metal ores"
"46_73","Wholesale of wood, construction materials and sanitary equipment","Wholesale of wood, construction materials and sanitary equipment"
"46_74","Wholesale of hardware, plumbing and heating equipment and supplies","Wholesale of hardware, plumbing and heating equipment and supplies"
"46_75","Wholesale of chemical products","Wholesale of chemical products"
"46_76","Wholesale of other intermediate products","Wholesale of other intermediate products"
"46_77","Wholesale of waste and scrap","Wholesale of waste and scrap"
"46_9","Non-specialised wholesale trade","Non-specialised wholesale trade"
"46_90","Non-specialised wholesale trade","Non-specialised wholesale trade"
"47","Retail trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles"
"47_1","Retail sale in non-specialised stores","Retail sale in non-specialised stores"
"47_11","Retail sale in non-specialised stores with food, beverages or tobacco predominating","Retail sale in non-specialised stores with food, beverages or tobacco predominating"
"47_19","Other retail sale in non-specialised stores","Other retail sale in non-specialised stores"
"47_2","Retail sale of food, beverages and tobacco in specialised stores","Retail sale of food, beverages and tobacco in specialised stores"
"47_21","Retail sale of fruit and vegetables in specialised stores","Retail sale of fruit and vegetables in specialised stores"
"47_22","Retail sale of meat and meat products in specialised stores","Retail sale of meat and meat products in specialised stores"
"47_23","Retail sale of fish, crustaceans and molluscs in specialised stores","Retail sale of fish, crustaceans and molluscs in specialised stores"
"47_24","Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores","Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
"47_25","Retail sale of beverages in specialised stores","Retail sale of beverages in specialised stores"
"47_26","Retail sale of tobacco products in specialised stores","Retail sale of tobacco products in specialised stores"
"47_29","Other retail sale of food in specialised stores","Other retail sale of food in specialised stores"
"47_3","Retail sale of automotive fuel in specialised stores","Retail sale of automotive fuel in specialised stores"
"47_30","Retail sale of automotive fuel in specialised stores","Retail sale of automotive fuel in specialised stores"
"47_4","Retail sale of information and communication equipment in specialised stores","Retail sale of information and communication equipment in specialised stores"
"47_41","Retail sale of computers, peripheral units and software in specialised stores","Retail sale of computers, peripheral units and software in specialised stores"
"47_42","Retail sale of telecommunications equipment in specialised stores","Retail sale of telecommunications equipment in specialised stores"
"47_43","Retail sale of audio and video equipment in specialised stores","Retail sale of audio and video equipment in specialised stores"
"47_5","Retail sale of other household equipment in specialised stores","Retail sale of other household equipment in specialised stores"
"47_51","Retail sale of textiles in specialised stores","Retail sale of textiles in specialised stores"
"47_52","Retail sale of hardware, paints and glass in specialised stores","Retail sale of hardware, paints and glass in specialised stores"
"47_53","Retail sale of carpets, rugs, wall and floor coverings in specialised stores","Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
"47_54","Retail sale of electrical household appliances in specialised stores","Retail sale of electrical household appliances in specialised stores"
"47_59","Retail sale of furniture, lighting equipment and other household articles in specialised stores","Retail sale of furniture, lighting equipment and other household articles in specialised stores"
"47_6","Retail sale of cultural and recreation goods in specialised stores","Retail sale of cultural and recreation goods in specialised stores"
"47_61","Retail sale of books in specialised stores","Retail sale of books in specialised stores"
"47_62","Retail sale of newspapers and stationery in specialised stores","Retail sale of newspapers and stationery in specialised stores"
"47_63","Retail sale of music and video recordings in specialised stores","Retail sale of music and video recordings in specialised stores"
"47_64","Retail sale of sporting equipment in specialised stores","Retail sale of sporting equipment in specialised stores"
"47_65","Retail sale of games and toys in specialised stores","Retail sale of games and toys in specialised stores"
"47_7","Retail sale of other goods in specialised stores","Retail sale of other goods in specialised stores"
"47_71","Retail sale of clothing in specialised stores","Retail sale of clothing in specialised stores"
"47_72","Retail sale of footwear and leather goods in specialised stores","Retail sale of footwear and leather goods in specialised stores"
"47_73","Dispensing chemist in specialised stores","Dispensing chemist in specialised stores"
"47_74","Retail sale of medical and orthopaedic goods in specialised stores","Retail sale of medical and orthopaedic goods in specialised stores"
"47_75","Retail sale of cosmetic and toilet articles in specialised stores","Retail sale of cosmetic and toilet articles in specialised stores"
"47_76","Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores","Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores"
"47_77","Retail sale of watches and jewellery in specialised stores","Retail sale of watches and jewellery in specialised stores"
"47_78","Other retail sale of new goods in specialised stores","Other retail sale of new goods in specialised stores"
"47_79","Retail sale of second-hand goods in stores","Retail sale of second-hand goods in stores"
"47_8","Retail sale via stalls and markets","Retail sale via stalls and markets"
"47_81","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products"
"47_82","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear"
"47_89","Retail sale via stalls and markets of other goods","Retail sale via stalls and markets of other goods"
"47_9","Retail trade not in stores, stalls or markets","Retail trade not in stores, stalls or markets"
"47_91","Retail sale via mail order houses or via Internet","Retail sale via mail order houses or via Internet"
"47_99","Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets"
"49","Land transport and transport via pipelines","Land transport and transport via pipelines"
"49_1","Passenger rail transport, interurban","Passenger rail transport, interurban"
"49_10","Passenger rail transport, interurban","Passenger rail transport, interurban"
"49_2","Freight rail transport","Freight rail transport"
"49_20","Freight rail transport","Freight rail transport"
"49_3","Other passenger land transport","Other passenger land transport"
"49_31","Urban and suburban passenger land transport","Urban and suburban passenger land transport"
"49_32","Taxi operation","Taxi operation"
"49_39","Other passenger land transport n.e.c.","Other passenger land transport n.e.c."
"49_4","Freight transport by road and removal services","Freight transport by road and removal services"
"49_41","Freight transport by road","Freight transport by road"
"49_42","Removal services","Removal services"
"49_5","Transport via pipeline","Transport via pipeline"
"49_50","Transport via pipeline","Transport via pipeline"
"50","Water transport","Water transport"
"50_1","Sea and coastal passenger water transport","Sea and coastal passenger water transport"
"50_10","Sea and coastal passenger water transport","Sea and coastal passenger water transport"
"50_2","Sea and coastal freight water transport","Sea and coastal freight water transport"
"50_20","Sea and coastal freight water transport","Sea and coastal freight water transport"
"50_3","Inland passenger water transport","Inland passenger water transport"
"50_30","Inland passenger water transport","Inland passenger water transport"
"50_4","Inland freight water transport","Inland freight water transport"
"50_40","Inland freight water transport","Inland freight water transport"
"51","Air transport","Air transport"
"51_1","Passenger air transport","Passenger air transport"
"51_10","Passenger air transport","Passenger air transport"
"51_2","Freight air transport and space transport","Freight air transport and space transport"
"51_21","Freight air transport","Freight air transport"
"51_22","Space transport","Space transport"
"52","Warehousing and support activities for transportation","Warehousing and support activities for transportation"
"52_1","Warehousing and storage","Warehousing and storage"
"52_10","Warehousing and storage","Warehousing and storage"
"52_2","Support activities for transportation","Support activities for transportation"
"52_21","Service activities incidental to land transportation","Service activities incidental to land transportation"
"52_22","Service activities incidental to water transportation","Service activities incidental to water transportation"
"52_23","Service activities incidental to air transportation","Service activities incidental to air transportation"
"52_24","Cargo handling","Cargo handling"
"52_29","Other transportation support activities","Other transportation support activities"
"53","Postal and courier activities","Postal and courier activities"
"53_1","Postal activities under universal service obligation","Postal activities under universal service obligation"
"53_10","Postal activities under universal service obligation","Postal activities under universal service obligation"
"53_2","Other postal and courier activities","Other postal and courier activities"
"53_20","Other postal and courier activities","Other postal and courier activities"
"55","Accommodation","Accommodation"
"55_1","Hotels and similar accommodation","Hotels and similar accommodation"
"55_10","Hotels and similar accommodation","Hotels and similar accommodation"
"55_2","Holiday and other short-stay accommodation","Holiday and other short-stay accommodation"
"55_20","Holiday and other short-stay accommodation","Holiday and other short-stay accommodation"
"55_3","Camping grounds, recreational vehicle parks and trailer parks","Camping grounds, recreational vehicle parks and trailer parks"
"55_30","Camping grounds, recreational vehicle parks and trailer parks","Camping grounds, recreational vehicle parks and trailer parks"
"55_9","Other accommodation","Other accommodation"
"55_90","Other accommodation","Other accommodation"
"56","Food and beverage service activities","Food and beverage service activities"
"56_1","Restaurants and mobile food service activities","Restaurants and mobile food service activities"
"56_10","Restaurants and mobile food service activities","Restaurants and mobile food service activities"
"56_2","Event catering and other food service activities","Event catering and other food service activities"
"56_21","Event catering activities","Event catering activities"
"56_29","Other food service activities","Other food service activities"
"56_3","Beverage serving activities","Beverage serving activities"
"56_30","Beverage serving activities","Beverage serving activities"
"58","Publishing activities","Publishing activities"
"58_1","Publishing of books, periodicals and other publishing activities","Publishing of books, periodicals and other publishing activities"
"58_11","Book publishing","Book publishing"
"58_12","Publishing of directories and mailing lists","Publishing of directories and mailing lists"
"58_13","Publishing of newspapers","Publishing of newspapers"
"58_14","Publishing of journals and periodicals","Publishing of journals and periodicals"
"58_19","Other publishing activities","Other publishing activities"
"58_2","Software publishing","Software publishing"
"58_21","Publishing of computer games","Publishing of computer games"
"58_29","Other software publishing","Other software publishing"
"59","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities"
"59_1","Motion picture, video and television programme activities","Motion picture, video and television programme activities"
"59_11","Motion picture, video and television programme production activities","Motion picture, video and television programme production activities"
"59_12","Motion picture, video and television programme post-production activities","Motion picture, video and television programme post-production activities"
"59_13","Motion picture, video and television programme distribution activities","Motion picture, video and television programme distribution activities"
"59_14","Motion picture projection activities","Motion picture projection activities"
"59_2","Sound recording and music publishing activities","Sound recording and music publishing activities"
"59_20","Sound recording and music publishing activities","Sound recording and music publishing activities"
"60","Programming and broadcasting activities","Programming and broadcasting activities"
"60_1","Radio broadcasting","Radio broadcasting"
"60_10","Radio broadcasting","Radio broadcasting"
"60_2","Television programming and broadcasting activities","Television programming and broadcasting activities"
"60_20","Television programming and broadcasting activities","Television programming and broadcasting activities"
"61","Telecommunications","Telecommunications"
"61_1","Wired telecommunications activities","Wired telecommunications activities"
"61_10","Wired telecommunications activities","Wired telecommunications activities"
"61_2","Wireless telecommunications activities","Wireless telecommunications activities"
"61_20","Wireless telecommunications activities","Wireless telecommunications activities"
"61_3","Satellite telecommunications activities","Satellite telecommunications activities"
"61_30","Satellite telecommunications activities","Satellite telecommunications activities"
"61_9","Other telecommunications activities","Other telecommunications activities"
"61_90","Other telecommunications activities","Other telecommunications activities"
"62","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"62_0","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"62_01","Computer programming activities","Computer programming activities"
"62_02","Computer consultancy activities","Computer consultancy activities"
"62_03","Computer facilities management activities","Computer facilities management activities"
"62_09","Other information technology and computer service activities","Other information technology and computer service activities"
"63","Information service activities","Information service activities"
"63_1","Data processing, hosting and related activities; web portals","Data processing, hosting and related activities; web portals"
"63_11","Data processing, hosting and related activities","Data processing, hosting and related activities"
"63_12","Web portals","Web portals"
"63_9","Other information service activities","Other information service activities"
"63_91","News agency activities","News agency activities"
"63_99","Other information service activities n.e.c.","Other information service activities n.e.c."
"64","Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding"
"64_1","Monetary intermediation","Monetary intermediation"
"64_11","Central banking","Central banking"
"64_19","Other monetary intermediation","Other monetary intermediation"
"64_2","Activities of holding companies","Activities of holding companies"
"64_20","Activities of holding companies","Activities of holding companies"
"64_3","Trusts, funds and similar financial entities","Trusts, funds and similar financial entities"
"64_30","Trusts, funds and similar financial entities","Trusts, funds and similar financial entities"
"64_9","Other financial service activities, except insurance and pension funding","Other financial service activities, except insurance and pension funding"
"64_91","Financial leasing","Financial leasing"
"64_92","Other credit granting","Other credit granting"
"64_99","Other financial service activities, except insurance and pension funding n.e.c.","Other financial service activities, except insurance and pension funding n.e.c."
"65","Insurance, reinsurance and pension funding, except compulsory social security","Insurance, reinsurance and pension funding, except compulsory social security"
"65_1","Insurance","Insurance"
"65_11","Life insurance","Life insurance"
"65_12","Non-life insurance","Non-life insurance"
"65_2","Reinsurance","Reinsurance"
"65_20","Reinsurance","Reinsurance"
"65_3","Pension funding","Pension funding"
"65_30","Pension funding","Pension funding"
"66","Activities auxiliary to financial services and insurance activities","Activities auxiliary to financial services and insurance activities"
"66_1","Activities auxiliary to financial services, except insurance and pension funding","Activities auxiliary to financial services, except insurance and pension funding"
"66_11","Administration of financial markets","Administration of financial markets"
"66_12","Security and commodity contracts brokerage","Security and commodity contracts brokerage"
"66_19","Other activities auxiliary to financial services, except insurance and pension funding","Other activities auxiliary to financial services, except insurance and pension funding"
"66_2","Activities auxiliary to insurance and pension funding","Activities auxiliary to insurance and pension funding"
"66_21","Risk and damage evaluation","Risk and damage evaluation"
"66_22","Activities of insurance agents and brokers","Activities of insurance agents and brokers"
"66_29","Other activities auxiliary to insurance and pension funding","Other activities auxiliary to insurance and pension funding"
"66_3","Fund management activities","Fund management activities"
"66_30","Fund management activities","Fund management activities"
"68","Real estate activities","Real estate activities"
"68_1","Buying and selling of own real estate","Buying and selling of own real estate"
"68_10","Buying and selling of own real estate","Buying and selling of own real estate"
"68_2","Renting and operating of own or leased real estate","Renting and operating of own or leased real estate"
"68_20","Renting and operating of own or leased real estate","Renting and operating of own or leased real estate"
"68_3","Real estate activities on a fee or contract basis","Real estate activities on a fee or contract basis"
"68_31","Real estate agencies","Real estate agencies"
"68_32","Management of real estate on a fee or contract basis","Management of real estate on a fee or contract basis"
"69","Legal and accounting activities","Legal and accounting activities"
"69_1","Legal activities","Legal activities"
"69_10","Legal activities","Legal activities"
"69_2","Accounting, bookkeeping and auditing activities; tax consultancy","Accounting, bookkeeping and auditing activities; tax consultancy"
"69_20","Accounting, bookkeeping and auditing activities; tax consultancy","Accounting, bookkeeping and auditing activities; tax consultancy"
"70","Activities of head offices; management consultancy activities","Activities of head offices; management consultancy activities"
"70_1","Activities of head offices","Activities of head offices"
"70_10","Activities of head offices","Activities of head offices"
"70_2","Management consultancy activities","Management consultancy activities"
"70_21","Public relations and communication activities","Public relations and communication activities"
"70_22","Business and other management consultancy activities","Business and other management consultancy activities"
"71","Architectural and engineering activities; technical testing and analysis","Architectural and engineering activities; technical testing and analysis"
"71_1","Architectural and engineering activities and related technical consultancy","Architectural and engineering activities and related technical consultancy"
"71_11","Architectural activities","Architectural activities"
"71_12","Engineering activities and related technical consultancy","Engineering activities and related technical consultancy"
"71_2","Technical testing and analysis","Technical testing and analysis"
"71_20","Technical testing and analysis","Technical testing and analysis"
"72","Scientific research and development","Scientific research and development"
"72_1","Research and experimental development on natural sciences and engineering","Research and experimental development on natural sciences and engineering"
"72_11","Research and experimental development on biotechnology","Research and experimental development on biotechnology"
"72_19","Other research and experimental development on natural sciences and engineering","Other research and experimental development on natural sciences and engineering"
"72_2","Research and experimental development on social sciences and humanities","Research and experimental development on social sciences and humanities"
"72_20","Research and experimental development on social sciences and humanities","Research and experimental development on social sciences and humanities"
"73","Advertising and market research","Advertising and market research"
"73_1","Advertising","Advertising"
"73_11","Advertising agencies","Advertising agencies"
"73_12","Media representation","Media representation"
"73_2","Market research and public opinion polling","Market research and public opinion polling"
"73_20","Market research and public opinion polling","Market research and public opinion polling"
"74","Other professional, scientific and technical activities","Other professional, scientific and technical activities"
"74_1","Specialised design activities","Specialised design activities"
"74_10","Specialised design activities","Specialised design activities"
"74_2","Photographic activities","Photographic activities"
"74_20","Photographic activities","Photographic activities"
"74_3","Translation and interpretation activities","Translation and interpretation activities"
